,id,age,gender_female,gender_male,race_asian,race_black,race_mexican_american,race_other,race_other_hispanic,race_white
4309,113572.0,7.0,1,0,0,0,0,0,0,1
4310,113573.0,53.0,1,0,0,0,0,0,0,1
4311,113574.0,33.0,0,1,0,0,0,0,0,1
4312,113575.0,58.0,0,1,0,0,0,0,0,1
4313,113576.0,43.0,0,1,1,0,0,0,0,0
4314,113577.0,42.0,1,0,0,1,0,0,0,0
4315,113578.0,26.0,0,1,0,1,0,0,0,0
4316,113579.0,14.0,1,0,0,1,0,0,0,0
4317,113580.0,77.0,1,0,0,1,0,0,0,0
4318,113581.0,75.0,1,0,0,0,0,0,1,0
4319,113582.0,55.0,0,1,0,1,0,0,0,0
4320,113583.0,33.0,1,0,1,0,0,0,0,0
4321,113584.0,54.0,1,0,0,0,0,0,1,0
4322,113585.0,5.397605346934028e-79,1,0,0,0,0,0,0,1
4323,113586.0,70.0,0,1,0,0,1,0,0,0
4324,113587.0,60.0,0,1,0,1,0,0,0,0
4325,113588.0,61.0,0,1,0,0,1,0,0,0
4326,113589.0,10.0,1,0,0,0,0,1,0,0
4327,113590.0,65.0,0,1,0,0,0,0,0,1
4328,113591.0,66.0,0,1,0,0,0,1,0,0
4329,113592.0,16.0,1,0,0,0,0,0,0,1
4330,113593.0,18.0,1,0,0,0,0,0,0,1
4331,113594.0,7.0,1,0,0,0,1,0,0,0
4332,113595.0,13.0,1,0,0,0,0,0,0,1
4333,113596.0,27.0,0,1,0,0,1,0,0,0
4334,113597.0,72.0,1,0,0,0,0,0,0,1
4335,113598.0,4.0,0,1,0,0,0,0,0,1
4336,113599.0,31.0,0,1,0,0,0,0,0,1
4337,113600.0,80.0,1,0,0,0,0,0,0,1
4338,113601.0,1.0,0,1,0,1,0,0,0,0
4339,113602.0,45.0,0,1,0,0,0,0,1,0
4340,113603.0,5.397605346934028e-79,0,1,0,0,0,0,0,1
4341,113604.0,11.0,0,1,0,0,0,0,0,1
4342,113605.0,3.0,0,1,0,0,1,0,0,0
4343,113606.0,39.0,0,1,0,0,1,0,0,0
4344,113607.0,9.0,0,1,0,0,1,0,0,0
4345,113608.0,5.397605346934028e-79,0,1,0,0,0,0,0,1
4346,113609.0,11.0,0,1,0,1,0,0,0,0
4347,113610.0,5.397605346934028e-79,0,1,0,0,0,1,0,0
4348,113611.0,14.0,1,0,0,1,0,0,0,0
4349,113612.0,14.0,0,1,0,0,0,0,0,1
4350,113613.0,20.0,1,0,1,0,0,0,0,0
4351,113614.0,30.0,0,1,0,0,0,0,0,1
4352,113615.0,54.0,1,0,0,0,0,0,0,1
4353,113616.0,66.0,0,1,0,0,1,0,0,0
4354,113617.0,46.0,0,1,0,0,0,0,0,1
4355,113618.0,12.0,1,0,0,0,0,0,0,1
4356,113619.0,80.0,1,0,0,0,0,0,0,1
4357,113620.0,48.0,1,0,1,0,0,0,0,0
4358,113621.0,58.0,1,0,0,0,0,0,0,1
4359,113622.0,7.0,0,1,0,0,0,0,0,1
4360,113623.0,11.0,1,0,0,0,0,0,0,1
4361,113624.0,45.0,0,1,0,0,1,0,0,0
4362,113625.0,57.0,1,0,0,1,0,0,0,0
4363,113626.0,14.0,1,0,0,0,0,0,0,1
4364,113627.0,33.0,0,1,0,1,0,0,0,0
4365,113628.0,37.0,1,0,0,0,0,0,0,1
4366,113629.0,33.0,0,1,0,1,0,0,0,0
4367,113630.0,39.0,0,1,1,0,0,0,0,0
4368,113631.0,64.0,1,0,0,0,1,0,0,0
4369,113632.0,50.0,1,0,0,0,0,0,0,1
4370,113633.0,29.0,0,1,1,0,0,0,0,0
4371,113634.0,14.0,0,1,0,0,1,0,0,0
4372,113635.0,80.0,1,0,0,0,0,0,0,1
4373,113636.0,24.0,0,1,1,0,0,0,0,0
4374,113637.0,35.0,1,0,0,0,0,0,1,0
4375,113638.0,18.0,1,0,1,0,0,0,0,0
4376,113639.0,67.0,0,1,0,0,0,0,1,0
4377,113640.0,7.0,0,1,0,0,1,0,0,0
4378,113641.0,24.0,1,0,0,0,0,0,0,1
4379,113642.0,47.0,0,1,1,0,0,0,0,0
4380,113643.0,2.0,1,0,0,0,0,1,0,0
4381,113644.0,19.0,1,0,1,0,0,0,0,0
4382,113645.0,15.0,1,0,1,0,0,0,0,0
4383,113646.0,47.0,1,0,0,1,0,0,0,0
4384,113647.0,58.0,0,1,0,0,1,0,0,0
4385,113648.0,61.0,0,1,0,1,0,0,0,0
4386,113649.0,55.0,0,1,0,0,0,0,0,1
4387,113650.0,2.0,0,1,1,0,0,0,0,0
4388,113651.0,62.0,1,0,1,0,0,0,0,0
4389,113652.0,26.0,0,1,1,0,0,0,0,0
4390,113653.0,80.0,1,0,0,1,0,0,0,0
4391,113654.0,19.0,1,0,0,1,0,0,0,0
4392,113655.0,36.0,1,0,1,0,0,0,0,0
4393,113656.0,17.0,0,1,0,0,0,1,0,0
4394,113657.0,9.0,0,1,0,0,0,1,0,0
4395,113658.0,37.0,1,0,0,0,1,0,0,0
4396,113659.0,16.0,1,0,0,1,0,0,0,0
